id,timestamp,type,severity,description,explanation,hash,encrypted_data,log_source,status,event_id
245,2026-05-12T10:01:45.218968,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\eclipse\java-2025-03\eclipse\configuration\org.eclipse.osgi\455\0\.cp\javascript\common.js,,,,Forensics,New,0
244,2026-05-12T10:01:45.207782,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\eclipse\java-2025-03\eclipse\configuration\org.eclipse.osgi\422\0\.cp\WebView2Loader.dll,,,,Forensics,New,0
243,2026-05-12T10:01:45.198578,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\eclipse\java-2025-03\eclipse\configuration\org.eclipse.osgi\422\0\.cp\swt-win32-4968r13.dll,,,,Forensics,New,0
242,2026-05-12T10:01:45.189485,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\eclipse\java-2025-03\eclipse\configuration\org.eclipse.osgi\422\0\.cp\swt-gdip-win32-4968r13.dll,,,,Forensics,New,0
241,2026-05-12T10:01:45.162565,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\eclipse\java-2025-03\eclipse\eclipsec.exe,,,,Forensics,False Positive,0
240,2026-05-12T10:01:45.153045,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\eclipse\java-2025-03\eclipse\eclipse.exe,,,,Forensics,New,0
239,2026-05-12T10:01:45.128676,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.skiko\5e2d47dc6f30cc62b3f26c2ee7c79b523cd543bb4eb39095f73a18ebe82c58d4\skiko-windows-x64.dll,,,,Forensics,New,0
238,2026-05-12T10:01:45.097979,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\lib\src.zip,,,,Forensics,New,0
237,2026-05-12T10:01:45.026910,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\server\jvm.dll,,,,Forensics,New,0
236,2026-05-12T10:01:45.003521,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\zip.dll,,,,Forensics,New,0
235,2026-05-12T10:01:44.994918,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\windowsaccessbridge-64.dll,,,,Forensics,New,0
234,2026-05-12T10:01:44.986345,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\w2k_lsa_auth.dll,,,,Forensics,New,0
233,2026-05-12T10:01:44.978088,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\verify.dll,,,,Forensics,New,0
232,2026-05-12T10:01:44.969300,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\vcruntime140_1.dll,,,,Forensics,New,0
231,2026-05-12T10:01:44.960059,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\vcruntime140.dll,,,,Forensics,New,0
230,2026-05-12T10:01:44.951511,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\ucrtbase.dll,,,,Forensics,New,0
229,2026-05-12T10:01:44.941368,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\syslookup.dll,,,,Forensics,New,0
228,2026-05-12T10:01:44.933330,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\sunmscapi.dll,,,,Forensics,New,0
227,2026-05-12T10:01:44.924898,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\sspi_bridge.dll,,,,Forensics,New,0
226,2026-05-12T10:01:44.916693,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\splashscreen.dll,,,,Forensics,New,0
225,2026-05-12T10:01:44.907923,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\serialver.exe,,,,Forensics,New,0
224,2026-05-12T10:01:44.898833,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\saproc.dll,,,,Forensics,New,0
223,2026-05-12T10:01:44.890108,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\rmiregistry.exe,,,,Forensics,New,0
222,2026-05-12T10:01:44.881078,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\rmi.dll,,,,Forensics,New,0
221,2026-05-12T10:01:44.872642,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\prefs.dll,,,,Forensics,New,0
220,2026-05-12T10:01:44.863691,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\nio.dll,,,,Forensics,New,0
219,2026-05-12T10:01:44.855025,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\net.dll,,,,Forensics,New,0
218,2026-05-12T10:01:44.845991,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\msvcp140.dll,,,,Forensics,New,0
217,2026-05-12T10:01:44.836925,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\mlib_image.dll,,,,Forensics,New,0
216,2026-05-12T10:01:44.827663,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\management_ext.dll,,,,Forensics,New,0
215,2026-05-12T10:01:44.819187,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\management_agent.dll,,,,Forensics,New,0
